classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (micrometers squared),Cellular surface area (micrometers squared),Radial proximity (unitless),Apical proximity (unitless)
ZO1,AICS-23_16_3,17.47872,46.143,42.864009,112.0898942,0.2531494,-0.000973617
ZO1,AICS-23_16_4,20.76948,44.77032,46.2909414,107.307251,0.01301752,0.01560683
ZO1,AICS-23_16_5,7.86456,40.61448,24.12097836,78.6787758,0.5953863,0.06400739
ZO1,AICS-23_16_6,8.27496,40.72788,26.6004264,85.7390178,0.548154,0.1226134
ZO1,AICS-23_17_1,36.94896,94.47948,66.6949884,181.2204828,0.2611931,-0.1435096
ZO1,AICS-23_17_3,20.51352,49.40136,43.21138152,104.4305065,0.1052655,-0.03620308
ZO1,AICS-23_17_6,11.12292,50.28912,29.64647472,89.88189168,0.5332277,0.01362149
ZO1,AICS-23_17_7,19.4184,43.97868,41.67518088,106.5751183,0.02731108,0.01739462
ZO1,AICS-23_17_8,21.70152,52.66188,43.94252484,105.0791222,0.1256379,-0.06997482
ZO1,AICS-23_17_9,20.56536,56.51424,43.37711184,115.1325786,0.2187095,0.08761559
ZO1,AICS-23_17_10,21.73392,44.03484,47.02450584,107.7477436,-0.01000944,-0.0581137
ZO1,AICS-23_18_1,36.08064,82.27872,65.17615464,163.0953732,0.15734,-0.003130232
ZO1,AICS-23_18_2,14.20848,40.2462,34.93393308,91.62211824,0.2725339,-0.1009681
ZO1,AICS-23_18_3,17.26272,44.93556,41.61319788,105.3811104,0.1676549,-0.06011863
ZO1,AICS-23_18_4,17.2422,38.06244,39.30086532,90.2419518,0.06523712,0.005745469
ZO1,AICS-23_18_5,18.6894,40.311,41.01413364,96.04773936,0.03224282,-0.1010572
ZO1,AICS-23_18_6,18.10944,42.68808,40.22699028,94.40724432,0.1192873,-0.02348723
ZO1,AICS-23_19_3,15.17508,34.77924,37.18784448,86.73863772,0.111927,-0.01401176
ZO1,AICS-23_19_4,24.21576,55.41156,52.88731776,123.8953452,0.07344303,0.01645818
ZO1,AICS-23_20_1,28.43748,77.13468,87.68175708,138.645204,0.3035594,-0.08183732
ZO1,AICS-23_20_4,20.66904,61.86888,43.7892144,125.498406,0.3411632,-0.01185175
ZO1,AICS-23_21_1,18.48636,39.64788,45.09313884,101.8559364,-0.04891855,0.06010868
ZO1,AICS-23_21_2,16.1676,36.07092,42.08902944,95.81223888,0.07973703,0.04875514
ZO1,AICS-23_21_3,16.61148,34.36452,42.60873216,99.09794316,-0.1322408,-0.03271729
ZO1,AICS-23_21_5,20.18628,42.1632,48.59686032,112.340678,-0.02119866,0.04368445
ZO1,AICS-23_22_1,19.70352,39.15972,45.36520056,97.03166856,-0.08277089,0.05709931
ZO1,AICS-23_22_2,25.2396,62.74908,51.15036204,123.5251932,0.1494321,0.01895653
ZO1,AICS-23_22_3,24.5268,52.56252,52.08205092,121.2297852,-0.03612255,-0.07304457
ZO1,AICS-23_22_4,19.29204,41.8068,43.2662292,96.95156208,0.03523055,0.04795048
ZO1,AICS-23_22_5,17.22492,41.71716,44.09393796,107.2263763,0.09339154,-0.1007661
ZO1,AICS-23_23_2,21.1896,40.54752,48.92892624,103.1595116,-0.1049878,-0.05403456
ZO1,AICS-23_23_3,11.31624,30.3318,29.42881836,71.06416716,0.3041396,-0.04317276
ZO1,AICS-23_23_5,12.86928,33.66576,32.75095584,80.05539204,0.2067377,0.01013433
ZO1,AICS-23_23_6,25.42752,61.10748,52.78963488,122.6802456,0.17554,-0.01904166
ZO1,AICS-23_23_7,9.15192,76.55688,34.16234076,118.549326,0.7775844,0.001967759
ZO1,AICS-23_24_1,14.78952,43.7292,34.39681692,95.3094258,0.2915668,0.04246717
ZO1,AICS-23_24_3,23.37552,55.12428,47.8884732,116.6582916,0.1521747,-0.02848425
ZO1,AICS-23_24_4,20.98548,52.98048,45.9445932,109.6627214,0.1687968,-0.04865431
ZO1,AICS-23_24_6,18.7434,35.26956,44.72476776,77.4331794,-0.1344091,0.04073581
ZO1,AICS-23_25_2,9.31392,37.5894,26.68244184,73.54316124,0.4918886,-0.1188802
ZO1,AICS-23_25_3,14.90616,33.32016,35.36368188,83.1361974,0.05267246,0.0374456
ZO1,AICS-23_25_4,9.49752,43.00344,26.28729876,89.32904988,0.5397257,0.0688624
ZO1,AICS-23_26_3,17.4258,42.60816,38.82043596,96.60337476,0.1807372,-0.0977976
ZO1,AICS-23_26_6,24.3756,57.483,51.93706308,133.4559756,0.1438306,-0.02505817
ZO1,AICS-23_26_7,15.91704,46.67112,37.94181384,92.75925312,0.2644285,-0.07689895
ZO1,AICS-23_27_2,27.63828,51.42636,56.43038244,114.1079094,-0.1410417,-0.03557497
ZO1,AICS-23_27_4,9.29232,39.91788,28.47368652,86.74356144,0.5242987,0.03902552
ZO1,AICS-23_27_5,29.92896,66.95784,61.14471048,139.2820284,0.1517104,-0.01202912
ZO1,AICS-23_28_2,24.39612,51.44256,49.74991872,102.2471801,0.04835402,-0.09123924
ZO1,AICS-23_28_4,25.82172,57.56832,54.22315908,130.60662,0.01693742,-0.09229289
ZO1,AICS-23_28_6,19.79208,43.03368,43.96898256,100.9572469,0.07129916,-0.09974956
ZO1,AICS-23_29_1,24.70068,58.42044,53.54041488,120.8893152,0.1118911,-0.02680386
ZO1,AICS-23_29_2,20.47032,46.72296,47.55599988,118.8978276,0.06282453,-0.1074382
ZO1,AICS-23_29_6,23.50944,47.06316,53.2083606,107.9200156,-0.142586,-0.1153211
ZO1,AICS-23_30_1,30.68388,70.19352,58.67064012,142.2864288,0.106007,-0.03294108
ZO1,AICS-23_30_4,16.79724,43.65252,37.14523044,96.45215952,0.2113848,-0.006838813
ZO1,AICS-23_31_1,24.09912,63.1098,50.32744896,129.7866984,0.2185898,-0.14701
ZO1,AICS-23_31_2,26.4168,57.57912,53.14549296,133.1681184,0.07245475,-0.08854099
ZO1,AICS-23_31_3,28.07784,67.17492,52.69791168,128.3410104,0.2102911,-0.07003202
ZO1,AICS-23_31_4,28.12428,67.14036,53.05728504,136.1107104,0.1735051,-0.04100866
ZO1,AICS-23_32_2,25.5096,51.66072,57.1524582,124.5036516,0.001274499,-0.02842717
ZO1,AICS-23_32_5,5.32116,38.43612,19.0618386,81.9599172,0.7284492,-0.06294715
ZO1,AICS-23_32_7,17.27892,35.56224,39.63942636,90.564438,0.02184535,-0.06445271
ZO1,AICS-23_32_9,14.7258,39.4632,36.51452868,89.31699084,0.1941473,0.1382986
ZO1,AICS-23_32_10,4.617,33.13764,17.58749292,70.41159384,0.5962476,0.2409827
ZO1,AICS-23_33_1,22.55364,48.88944,50.10838416,114.7800263,0.02588194,0.01222193
ZO1,AICS-23_33_5,15.70104,35.26416,37.95267396,78.71425452,0.08236098,-0.176711
ZO1,AICS-23_34_1,19.29312,40.30128,45.3692862,111.0066526,-0.04829198,0.01760617
ZO1,AICS-23_34_2,22.67136,56.5758,49.37989476,126.0933264,0.1894857,0.01195677
ZO1,AICS-23_34_3,19.69272,43.6968,43.46814828,102.7295417,0.09771907,0.000542817
ZO1,AICS-23_34_4,19.8558,44.17416,46.92401772,110.5184477,0.09405768,-0.002571315
ZO1,AICS-23_34_5,17.6526,46.63872,42.00715368,118.3774032,0.1931927,0.06618057
ZO1,AICS-23_34_6,17.00676,36.01152,42.61029192,101.6502692,-0.01444141,0.08197657
ZO1,AICS-23_34_7,19.83744,45.2304,45.71211912,114.3934619,0.005354096,0.003328492
ZO1,AICS-23_35_1,10.49976,38.08296,27.44395392,75.60409308,0.4467836,0.06534502
ZO1,AICS-23_35_3,14.72256,43.6428,34.31404488,97.769598,0.2718281,-0.05668192
ZO1,AICS-23_35_6,4.7196,47.358,17.9470176,82.11646356,0.8142537,-0.007487664
ZO1,AICS-23_35_7,19.47132,39.6468,41.86173516,86.60106456,-0.09987327,0.07742582
ZO1,AICS-23_36_1,18.19476,46.74996,42.66780516,113.3205565,0.1741407,-0.04555309
ZO1,AICS-23_36_2,12.8844,36.59904,32.47935972,83.09629548,0.200763,0.0545623
ZO1,AICS-23_36_3,19.34604,48.0924,45.08367552,109.0988682,0.1759142,-0.106559
ZO1,AICS-23_36_4,18.23904,50.67792,39.6983946,123.571986,0.2739822,-0.04383865
ZO1,AICS-23_36_5,12.88872,34.86348,32.03529372,80.78024976,0.2191678,-0.1216952
ZO1,AICS-23_36_6,14.66532,39.69,35.0200458,98.84270124,0.1588893,-0.03301623
ZO1,AICS-23_37_4,15.56496,31.995,37.39834224,77.73217608,0.02831401,-0.0118318
ZO1,AICS-23_37_5,32.85468,67.55184,65.37112464,141.0408324,0.06192188,0.000661629
ZO1,AICS-23_37_7,27.36612,60.2478,56.53840164,131.1248328,0.1371012,-0.1518341
