classes,Cell ID,Nuclear volume (fL),Cellular volume (fL),Nuclear surface area (&micro;m&sup2;),Cellular surface area (&micro;m&sup2;),Radial proximity (unitless),Apical proximity (unitless)
Tom20,AICS-11_25_2,26.49024,68.56596,56.5809,160.3931,0.9453688,0.01688107
Tom20,AICS-11_25_3,31.1634,66.21804,61.30976,123.5079,0.7683182,0.3966743
Tom20,AICS-11_25_4,21.4488,52.21152,43.13971,104.6125,0.8814433,0.7041575
Tom20,AICS-11_25_5,19.93248,48.43152,43.34073,103.9514,0.9594621,0.6133313
Tom20,AICS-11_25_6,22.68,61.52328,46.45621,130.6887,0.995061,-0.1003034
Tom20,AICS-11_25_7,21.519,49.85064,48.60397,119.757,0.9055043,0.161604
Tom20,AICS-11_26_2,19.54044,48.17124,42.76583,106.8597,0.945713,0.06269719
Tom20,AICS-11_26_3,18.67536,48.04056,41.98112,110.5237,0.9597189,0.4724576
Tom20,AICS-11_26_4,28.65348,71.03052,53.92095,131.9499,0.9318506,0.4032837
Tom20,AICS-11_26_5,8.74692,40.77108,25.03258,82.47163,0.8735541,0.3830011
Tom20,AICS-11_26_6,27.70308,70.0974,54.48644,156.6032,0.9127081,-0.1315218
Tom20,AICS-11_26_7,18.19692,50.7546,43.2132,116.2152,0.9901496,0.1313617
Tom20,AICS-11_26_8,17.38908,48.43152,40.33483,99.12144,0.9497457,0.02044602
Tom20,AICS-11_26_9,17.71524,37.7838,41.31775,88.6845,0.9649683,0.3719923
Tom20,AICS-11_26_10,9.67896,47.16144,26.70862,93.31602,0.8607985,0.1939957
Tom20,AICS-11_27_1,13.49136,24.80976,33.58013,69.58784,0.9803851,0.886179
Tom20,AICS-11_27_2,15.03252,32.37084,34.86988,79.85617,0.9743366,0.9428273
Tom20,AICS-11_27_3,14.8014,33.64956,37.01032,76.35635,0.9531613,0.3748787
Tom20,AICS-11_27_4,17.35776,45.79524,39.60816,103.9085,0.9372123,0.3059848
Tom20,AICS-11_27_5,26.46972,63.6012,54.3246,131.8873,0.9736326,0.2421069
Tom20,AICS-11_27_6,25.29252,73.45836,83.33521,138.8705,0.9249038,0.2210723
Tom20,AICS-11_27_7,21.71016,43.53264,46.32398,99.62666,0.9199463,0.357416
Tom20,AICS-11_27_8,21.45096,51.75252,46.09695,110.1563,0.9439448,0.1874687
Tom20,AICS-11_28_2,30.861,75.33972,60.84716,144.2189,0.7884139,0.5801986
Tom20,AICS-11_28_3,24.894,61.13016,52.05077,135.1035,0.9481851,0.2860636
Tom20,AICS-11_28_4,28.16208,77.21784,51.86283,137.5363,0.8468793,0.06904166
Tom20,AICS-11_28_5,28.99584,65.29464,54.68399,141.3485,0.9510834,0.5724248
Tom20,AICS-11_29_1,24.63372,56.90628,49.89129,113.7,0.9848905,0.4982973
Tom20,AICS-11_29_2,26.1414,57.05532,51.32243,114.0868,0.6624568,0.391414
Tom20,AICS-11_29_3,22.38948,49.32684,46.65333,101.6717,0.9682314,0.5240337
Tom20,AICS-11_29_4,25.94592,61.2252,50.27794,118.2871,0.8822904,0.7509134
Tom20,AICS-11_29_5,17.77788,49.7286,40.23325,109.0596,0.8862829,-0.3201543
Tom20,AICS-11_29_6,19.32228,52.47072,41.62723,98.75316,0.9498189,0.07836752
Tom20,AICS-11_29_7,21.10644,52.27848,45.09459,113.232,0.8714882,0.5670357
Tom20,AICS-11_29_8,25.947,60.29208,53.89168,117.6384,0.8849796,0.2544477
Tom20,AICS-11_30_2,26.92764,58.2714,62.11163,139.3156,0.8416132,0.0728316
Tom20,AICS-11_30_3,24.68232,51.76224,50.72092,110.4081,0.9099374,0.08011557
Tom20,AICS-11_30_4,33.18948,70.19244,64.90276,135.429,0.8492242,0.3663764
Tom20,AICS-11_30_5,32.9724,72.73584,61.46573,139.6613,0.8929355,0.6034866
Tom20,AICS-11_30_6,12.9654,41.56164,31.87536,83.50893,0.8299588,0.3410054
Tom20,AICS-11_30_7,28.95804,61.95636,56.32831,136.9852,0.9621154,-0.2669645
Tom20,AICS-11_30_8,18.46908,42.87276,40.22289,102.9893,0.8292618,0.1492254
Tom20,AICS-11_31_1,22.9986,54.37908,47.26247,119.7352,0.9020014,0.03185382
Tom20,AICS-11_31_2,26.02908,58.9464,55.03051,128.3126,0.8419148,0.179887
Tom20,AICS-11_31_3,18.8838,44.84916,43.60779,92.84303,0.9402019,-0.5162514
Tom20,AICS-11_31_4,18.88272,45.43668,43.13749,119.396,0.9619797,0.6226773
Tom20,AICS-11_31_5,24.01812,57.81348,49.14636,117.5889,0.8681665,-0.04814216
Tom20,AICS-11_31_6,29.95164,70.53264,64.26364,145.3144,0.9516062,0.6886864
Tom20,AICS-11_31_7,30.56184,81.42768,56.52787,157.932,0.9320264,0.08032215
Tom20,AICS-11_31_8,37.65852,91.89828,65.61967,177.2272,0.7502277,0.2277123
Tom20,AICS-11_31_9,25.83684,56.3328,50.79861,120.0801,0.8280236,0.00842929
Tom20,AICS-11_32_1,22.29444,58.5846,46.19311,125.6341,0.9171742,0.1834365
Tom20,AICS-11_32_2,17.93664,50.46732,40.62352,121.7999,0.9901727,-0.1917594
Tom20,AICS-11_32_3,25.08084,58.22064,51.43424,140.1535,0.9046332,0.08139355
Tom20,AICS-11_32_4,19.12248,49.33548,47.61335,106.9227,0.7496991,-0.3167712
Tom20,AICS-11_32_5,31.63212,88.42176,57.01851,180.7089,0.8731279,0.4021632
Tom20,AICS-11_32_6,18.51336,45.24552,42.72109,102.0873,0.8870108,0.4523669
Tom20,AICS-11_32_7,9.83556,39.98052,25.89309,76.95735,0.8759701,0.4208542
Tom20,AICS-11_32_9,6.35148,54.88992,21.28211,86.65273,0.9865839,-0.3780508
Tom20,AICS-11_33_1,16.3674,55.809,39.04281,138.5822,0.9635244,-0.1254308
Tom20,AICS-11_33_2,20.655,53.25804,43.55716,109.6379,0.9397328,0.3218081
Tom20,AICS-11_33_3,26.93412,80.433,55.97078,178.357,0.9450735,-0.4625746
Tom20,AICS-11_33_4,27.27216,66.70188,53.33461,145.0239,0.9556084,-0.4622959
Tom20,AICS-11_33_5,24.48468,63.03528,48.41483,132.4314,0.9190124,0.3551238
Tom20,AICS-11_33_6,23.86692,59.37732,48.08544,128.5066,0.8901513,0.2557277
Tom20,AICS-11_34_1,23.1606,57.32532,53.43058,135.5524,0.8686634,0.5057278
Tom20,AICS-11_34_2,20.6334,61.69284,43.16428,129.6475,0.779276,-0.01632979
Tom20,AICS-11_34_3,21.23064,61.803,42.88752,117.3121,0.9902041,0.0295449
Tom20,AICS-11_34_4,18.56952,52.49664,44.38689,138.023,0.8968637,0.1265786
Tom20,AICS-11_34_5,23.93928,61.69068,51.76953,127.0421,0.9882917,0.5007607
Tom20,AICS-11_34_7,25.38,63.93384,60.36556,129.1351,0.8730646,0.3074731
Tom20,AICS-11_35_1,24.17688,54.6696,49.25937,101.9523,0.9215255,0.4191954
Tom20,AICS-11_35_3,22.31604,61.65396,44.95439,144.0075,0.9021105,0.4784528
Tom20,AICS-11_35_4,22.94028,55.43316,46.82763,123.9219,0.9212638,0.4044596
Tom20,AICS-11_35_5,19.2402,47.11932,40.59378,102.9362,0.9094823,0.3799954
Tom20,AICS-11_36_1,34.83324,88.776,63.59256,157.4322,0.8230387,0.1053736
Tom20,AICS-11_36_2,20.86344,50.8248,43.71309,110.1395,0.9208198,0.833836
Tom20,AICS-11_36_3,25.596,62.77716,51.80175,118.4016,0.9787316,0.9096478
Tom20,AICS-11_36_4,22.40568,52.24932,45.22161,108.2209,0.9189887,0.6360078
Tom20,AICS-11_36_5,26.71272,63.29448,53.73467,108.3131,0.856263,0.5595738
Tom20,AICS-11_36_6,27.93204,72.74772,56.73262,158.556,0.945102,0.1713995
Tom20,AICS-11_36_7,19.62792,53.94816,45.11092,124.8767,0.9835907,-0.5308868
Tom20,AICS-11_37_1,28.23876,64.82484,51.9565,124.9451,0.9892915,0.1657148
Tom20,AICS-11_37_2,23.60556,52.45128,46.8285,116.1635,0.9290434,0.568014
Tom20,AICS-11_37_3,30.25404,70.227,62.97483,129.5567,0.9461886,0.4286113
Tom20,AICS-11_37_4,23.37228,54.07884,49.04096,125.0285,0.957774,0.2123834
Tom20,AICS-11_37_6,20.5686,51.07536,45.43296,113.2191,0.9554394,0.08829272
Tom20,AICS-11_38_1,31.64508,60.4206,61.16677,127.8658,0.846144,0.334724
Tom20,AICS-11_38_2,19.72404,41.3478,43.86448,101.508,0.9438784,0.4254898
Tom20,AICS-11_38_3,25.12944,65.65428,51.52885,134.692,0.9855152,0.7540733
Tom20,AICS-11_39_1,17.81028,57.80916,40.57959,129.3412,0.8719246,-0.2840968
Tom20,AICS-11_39_3,33.44004,72.86868,61.48243,154.6929,0.7770517,0.22131
Tom20,AICS-11_39_6,22.194,54.03348,48.84369,127.5981,0.9633175,0.2361263
Tom20,AICS-11_39_7,22.27608,61.77384,51.75053,146.0918,0.9716062,-0.1222442
Tom20,AICS-11_39_9,5.65056,76.3776,20.9132,121.3802,1,0.1717687
Tom20,AICS-11_39_11,14.99148,41.10588,37.41399,101.1608,0.9512933,-0.3969288
Tom20,AICS-11_40_1,18.60948,38.88864,46.02753,91.31436,0.9162986,0.4452117
Tom20,AICS-11_40_2,20.31804,48.43368,44.51637,104.2915,0.7771316,0.3716458
Tom20,AICS-11_40_3,19.96164,47.19924,41.01055,97.32238,0.9488525,0.5157424
Tom20,AICS-11_40_4,16.632,38.63052,38.5368,85.87338,0.9191815,0.1583306
Tom20,AICS-11_40_5,29.22696,68.06808,57.05738,136.4816,0.9187985,0.4458425
Tom20,AICS-11_40_6,15.29388,34.50816,38.7323,75.89558,0.8067138,0.6496438
Tom20,AICS-11_40_8,23.25996,52.22556,52.63842,117.9528,0.9764382,-0.06114276
Tom20,AICS-11_41_1,9.67896,37.8918,25.22336,82.79337,0.9777436,0.6211404
Tom20,AICS-11_41_2,21.087,49.05576,43.01867,104.2847,0.9721906,-0.01533893
Tom20,AICS-11_41_3,22.00284,47.5362,45.32276,103.7872,0.8931159,-0.05735726
Tom20,AICS-11_41_4,16.81884,42.55092,42.49709,105.9462,0.8672822,0.01622475
Tom20,AICS-11_41_6,15.76152,43.48404,40.22707,98.2599,0.8594106,0.2251658
Tom20,AICS-11_41_7,22.6638,66.26448,45.26616,148.2181,0.92874,0.2798376
Tom20,AICS-11_41_8,18.28116,53.00316,40.0727,131.2427,0.9500726,0.1239302
Tom20,AICS-11_41_9,20.94984,44.54676,45.31552,90.81532,0.8633424,0.533702
Tom20,AICS-11_42_1,18.7542,40.85316,40.28571,82.75429,0.8849968,0.4518985
Tom20,AICS-11_42_2,17.13096,46.85688,44.87331,101.8296,0.9448417,0.08913527
Tom20,AICS-11_42_3,21.90672,45.61056,50.35211,97.10912,0.8558898,0.6591315
Tom20,AICS-11_42_4,22.04496,45.28548,44.78819,85.44379,0.8982921,0.8107723
Tom20,AICS-11_42_5,21.16476,50.38848,44.43911,129.632,0.9414421,0.5153013
Tom20,AICS-11_42_6,17.40528,45.954,39.55664,112.4587,0.8979456,-0.2014656
Tom20,AICS-11_42_7,19.48104,49.07088,42.78436,130.7221,0.9299856,-0.1616865
Tom20,AICS-11_42_8,16.02504,49.3884,37.52679,126.9163,0.9853318,0.07662074
Tom20,AICS-11_42_9,30.62556,75.92292,57.95761,169.7192,0.8717803,-0.2366313
Tom20,AICS-11_43_1,24.72876,55.20744,51.01278,120.9284,0.9463618,0.5465723
Tom20,AICS-11_43_2,24.97824,53.40276,52.5136,129.8198,0.9199016,0.5784948
Tom20,AICS-11_43_3,21.897,49.83444,46.04641,96.36323,0.932666,0.2770411
Tom20,AICS-11_43_4,23.9976,59.8482,48.65086,139.8543,0.882658,0.3104175
Tom20,AICS-11_43_5,30.89232,68.81976,57.87943,122.7535,0.9218704,0.5652644
Tom20,AICS-11_43_6,21.23712,53.109,44.14246,109.4829,0.883284,0.4401815
Tom20,AICS-11_44_1,26.71056,59.04684,52.22497,131.1372,0.9072376,0.4579338
Tom20,AICS-11_44_2,27.37692,63.64008,52.58216,124.3881,0.9757009,0.8325331
Tom20,AICS-11_44_3,30.78972,72.48636,54.97609,133.7775,0.9696198,0.4707965
Tom20,AICS-11_45_2,23.6304,59.1084,51.24601,149.6185,0.9274182,-0.2281769
Tom20,AICS-11_45_4,17.78112,37.38528,44.35821,91.44271,0.8950756,-0.3162963
Tom20,AICS-11_45_6,20.736,50.24052,43.5779,117.4906,0.8772964,-0.6854867
Tom20,AICS-11_45_7,21.63564,55.54224,48.96548,138.4245,0.9117398,0.7312778
Tom20,AICS-11_45_8,17.44524,43.41708,39.58068,110.6117,0.9496369,0.6246173
Tom20,AICS-11_45_9,24.19308,65.2212,47.97052,142.0332,0.8910477,-0.009588554
Tom20,AICS-11_46_1,21.28896,43.1514,47.23094,100.3422,0.8840839,0.7104249
Tom20,AICS-11_46_2,17.45712,41.27436,38.38659,97.84557,0.934027,0.01043641
Tom20,AICS-11_46_3,26.23968,60.17436,51.88922,133.4788,0.8853885,-0.04274366
Tom20,AICS-11_46_4,16.10388,42.3522,39.8597,111.8944,0.7799607,0.1272855
Tom20,AICS-11_46_5,17.44956,38.87352,38.7732,85.87489,0.9349087,0.1587039
Tom20,AICS-11_46_6,19.46592,43.08876,45.58295,103.4629,0.6311249,0.4547726
Tom20,AICS-11_46_7,20.50056,49.15836,42.27852,104.9811,0.8675835,0.1169806
Tom20,AICS-11_46_8,22.1076,49.43268,46.22377,98.03165,0.7456102,0.1793804
Tom20,AICS-11_47_1,29.41272,68.17716,56.23766,134.4583,0.9388099,0.002129327
Tom20,AICS-11_47_2,17.12556,45.3438,42.33944,101.042,0.9655693,0.4229246
Tom20,AICS-11_47_5,20.60748,48.18204,46.35717,119.3234,0.9172678,0.005031312
Tom20,AICS-11_47_6,26.703,64.10772,55.70027,150.3869,0.9670824,0.2698189
Tom20,AICS-11_48_1,23.7168,59.13864,48.10482,122.5936,0.9085097,0.03352089
Tom20,AICS-11_48_2,19.42704,41.85,42.44587,92.49899,0.9875103,0.2601392
